你	nǐ<br /><br /><br />du
明明白白	míng míng bái bái<br /><br /><br />sonnenklar / völlig klar
拜拜	bài bài<br /><br /><br />Bye bye.
谁	shéi<br /><br /><br />wer / wem / wen (Fragewort)
他是谁？	<br /><br /><br />Wer ist er?
谁爱她？	<br /><br /><br />Wer liebt sie?
怎么	zěn me<br /><br /><br />wie (Fragewort)
怎么样	zěn me yàng<br /><br /><br />wie (Beschaffenheit / subjektives Empfinden)
样	yàng<br /><br /><br />Art / Weise
你的汉语怎么样？	<br /><br /><br />Wie ist dein Chinesisch?
有	yǒu<br /><br /><br />haben / es gibt
没有	méi yǒu<br /><br /><br />nicht haben / es gibt nicht
累	lèi<br /><br /><br />müde
饿	è<br /><br /><br />hungrig
渴	kě<br /><br /><br />durstig
对	duì<br /><br /><br />richtig / korrekt / stimmt<br />gegen (Präposition)
错	cuò<br /><br /><br />falsch / schlecht
对对对。	<br /><br /><br />Stimmt.
不错	<br /><br /><br />nicht schlecht
思	si<br /><br /><br />denken
意思	yì si<br /><br /><br />Bedeutung / Sinn
什么意思？	<br /><br /><br />Was heisst das?
同	tóng<br /><br /><br />gemeinsam / zusammen
同学	<br /><br /><br />Mitschüler / Studienkollege
可	kě<br /><br /><br />Verstärkungs-Partikel<br />können
有意思	yǒu yì si<br /><br /><br />interessant
为	wèi<br /><br /><br />für
为什么	<br /><br /><br />warum (Fragewort)
因为	yīn wèi<br /><br /><br />weil
要	yào<br /><br /><br />wollen
我要去中国。	<br /><br /><br />Ich will nach China fahren.
下	xià<br /><br /><br />unten / darunter
咖啡色	<br /><br /><br />braun
懂了吗？	<br /><br /><br />Verstanden?
我懂了。	<br /><br /><br />Ich habe verstanden.
问	wèn<br /><br /><br />fragen
题	tí<br /><br /><br />Thema / Titel
问题	wèn tí<br /><br /><br />die Frage
页	yè<br /><br /><br />die Seite
难	nán<br /><br /><br />schwer / schwierig
久	jiǔ<br /><br /><br />lange / ewig
好久不见（了）。	<br /><br /><br />Schon lange nicht mehr gesehen.
还	hái<br /><br /><br />noch / darüber hinaus
行	xíng<br /><br /><br />gehen<br />kompetent / tüchtig
还行。	hái xíng<br /><br /><br />Es geht.
个	ge<br /><br /><br />Zähleinheitswort
一个人	<br /><br /><br />1 Mensch
什么？	<br /><br /><br />Was? (Gegenfrage)
介绍	jiè shào<br /><br /><br />jemanden vorstellen
请	qǐng<br /><br /><br />bitte / einladen
请喝茶。	<br /><br /><br />Bitte trink etwas Tee (zum Gast z.B.)
妈妈	mā ma<br /><br /><br />Mama
爸爸	bà ba<br /><br /><br />Papa
请问？	<br /><br /><br />Darf ich fragen?
我和你	<br /><br /><br />Ich und Du
你怎么样？	nǐ zěnme yàng<br /><br /><br />Wie geht es dir?
太太	tàitài<br /><br /><br />Ehefrau - Anrede für Hausfrauen
女士	nǚ shì<br /><br /><br />Frau - Anrede für berufstätige Frauen
可口可乐	kě kǒu kě lè<br /><br /><br />Coca Cola
可口	kě kǒu<br /><br /><br />wohlschmeckend
可乐	kě lè<br /><br /><br />glücklich / Cola
俄国	é guó<br /><br /><br />Russland
好喝。	<br /><br /><br />Schmeckt gut. (Bei Getränken)
一下儿	yī xià er / yīxièr<br /><br /><br />kurz
爱好	ài hào<br /><br /><br />Hobby
你的爱好是什么？	<br /><br /><br />Was sind deine Hobbies?
踢	tī<br /><br /><br />treten / kicken
足	zú<br /><br /><br />Fuss
球	qiú<br /><br /><br />Ball
足球	zú qiú<br /><br /><br />Fussball
踢足球	tī zú qiú<br /><br /><br />Fussball spielen
打	dǎ<br /><br /><br />schlagen (mit der Hand)
打球	dǎ qiú<br /><br /><br />Ball spielen
网	wǎng<br /><br /><br />Netz / Netzwerk
网球	wǎng qiú<br /><br /><br />Tennis
网上	wǎng shàng<br /><br /><br />online
上网	shàng wǎng<br /><br /><br />online gehen
骑	qí<br /><br /><br />reiten
车	chē<br /><br /><br />Fahrzeug
骑车	qí chē<br /><br /><br />Fahrrad fahren
买	mǎi<br /><br /><br />kaufen
东	dōng<br /><br /><br />Osten
西	xi<br /><br /><br />Westen
东西	dōng xi<br /><br /><br />Gegenstand / Sache
买东西	mǎi dōng xi<br /><br /><br />einkaufen / shoppen
做	zuò<br /><br /><br />machen / tun
饭	fàn<br /><br /><br />Essen
做饭	zuò fàn<br /><br /><br />kochen
你做什么？	nǐ zuò shén me<br /><br /><br />Was machst du?
我有点儿累	wǒ yǒudiǎnr lěi<br /><br /><br />Ich bin ein bisschen müde.
我说一点儿中文	wǒ shuō yīdiǎnr zhōngwén<br /><br /><br />Ich spreche ein bisschen chinesisch
请你介绍你自己	qǐng nǐ jièshào nǐ zijǐ<br /><br /><br />Bitte stell dich selbst vor.
自己	zijǐ<br /><br /><br />sich selbst
你从哪儿来？	nǐ cóng nǎr lái<br /><br /><br />Woher kommst du?
从	cóng<br /><br /><br />von / aus
哪儿	nǎr<br /><br /><br />Wo
来	lái<br /><br /><br />kommen
在	zài<br /><br /><br />sein / sich befinden / existieren (an einem Ort)
你在哪儿？	nǐ zài nǎr<br /><br /><br />Wo bist du?
我在大学。	wǒ zài dàxué<br /><br /><br />Ich bin an der Universität.
大学	dàxué<br /><br /><br />Universität
技术	jìshù<br /><br /><br />Technik
技术大学	jìshù dàxué<br /><br /><br />Technische Universität
我在技术大学学习	wǒ zài jìshù dàxué xuéxí<br /><br /><br />Ich studiere an der Technischen Universität.
买	mǎi<br /><br /><br />kaufen
卖	mài<br /><br /><br />verkaufen
头	tóu<br /><br /><br />Kopf
天天	tiāntiān<br /><br /><br />jeden Tag / täglich
人人	rénrén<br /><br /><br />jeder Mensch
手机	shǒu jī<br /><br /><br />Handy / Mobiltelefon
手	shǒu<br /><br /><br />die Hand
机	jī<br /><br /><br />Maschine / Gerät
我的手机是日本的。	wǒ de shǒujī shì rìběnde<br /><br /><br />Mein Handy ist aus Japan.
多	duō<br /><br /><br />viel / mehr / über (nach einer Zahl)
少	shǎo<br /><br /><br />wenig
多少	duōshǎo<br /><br /><br />wieviel
钱	qián<br /><br /><br />Geld
多少钱？	duōshǎoqián<br /><br /><br />Wieviel kostet das?
手机多少钱？	shǒujī duōshǎoqián<br /><br /><br />Wieviel kostet das Handy?
三百八十欧元	sānbǎibāshí ōuyuán<br /><br /><br />380 Euro
欧洲	ōu zhōu<br /><br /><br />Europa
欧元	ōuyuán<br /><br /><br />Euro
洲	zhōu<br /><br /><br />Erdteil / Kontinent
便宜	pián yì<br /><br /><br />billig
便	pián<br /><br /><br />günstig / bequem
宜	yì<br /><br /><br />passend
人口	rénkǒu<br /><br /><br />Einwohner
百万	bǎiwàn<br /><br /><br />Million
从来	cóng lái<br /><br /><br />immer / seit jeher / stets
从来不	cóngláibù<br /><br /><br />nie
从来没有	cónglái méiyǒu<br /><br /><br />nie / nie vorher
我从来不买	wǒ cónglái bù mǎi<br /><br /><br />Ich kaufe nie ...
包	bāo<br /><br /><br />Tasche
钱包	qián bāo<br /><br /><br />Geldtasche
你在中国买什么？	nǐ zài zhōngguó mǎi shénme<br /><br /><br />Was kaufst du in China?
特	tè<br /><br /><br />besonders
产	chǎn<br /><br /><br />Produkt
特产	tèchǎn<br /><br /><br />Spezialität
水晶	shuǐ jīng<br /><br /><br />Kristall
香	xiāng<br /><br /><br />duftend
香水	xiāng shuǐ<br /><br /><br />Parfüm
口红	kǒu hóng<br /><br /><br />Lippenstift
美女	měinǚ<br /><br /><br />schöne Frau / Anrede für Mädchen
不好意思	bùhǎo yìsi<br /><br /><br />Tut mir leid. / Bedauerlicherweise (Höflichkeitsfloskel)
电	diàn<br /><br /><br />Strom / Elektrizität
话	huà<br /><br /><br />Sprache
电话	diàn huà<br /><br /><br />Telefon
号	hào<br /><br /><br />Nummer
码	mǎ<br /><br /><br />Grösse / Nummer
号码	hào mǎ<br /><br /><br />die Nummer / die Ziffer
电话号码	diànhuà hàomǎ<br /><br /><br />Telefonnummer
吃	chī<br /><br /><br />essen / speisen
饭	fàn<br /><br /><br />das Essen / die Mahlzeit
吃饭	chīfàn<br /><br /><br />Essen (allgemein) / die Nahrungszufuhr / speisen (formell)
米饭	mǐfàn<br /><br /><br />gekochter Reis / Reis
面	miàn<br /><br /><br />Teig / Mehl / Oberfläche / Gesicht / Fläche
条	tiáo<br /><br /><br />Streifen
面条	miàntiáo<br /><br /><br />Nudeln
包	bāo<br /><br /><br />Tasche
面包	miànbāo<br /><br /><br />Brot
意大利面条	yìdàlì miàntiáo<br /><br /><br />Spaghetti
还是	háishì<br /><br /><br />oder (bei Alternativmöglichkeiten)
肉	ròu<br /><br /><br />Fleisch
猪	zhū<br /><br /><br />Schwein
猪肉	zhūròu<br /><br /><br />Schweinefleisch
牛	niú<br /><br /><br />Rind
鸡	jī<br /><br /><br />Huhn
鸟	niǎo<br /><br /><br />Vogel
鸭	yā<br /><br /><br />Ente
鱼	yú<br /><br /><br />Fisch
虾	xiā<br /><br /><br />Shrimps / Garnelen
虫	chóng<br /><br /><br />Insekt / Wurm
菜	cài<br /><br /><br />Gemüse / Speise / Gericht
白菜	bàicài<br /><br /><br />Chinakohl
一	yāo<br /><br /><br />1 (alternative Aussprache bei Ziffern)
两	liǎng<br /><br /><br />2 (alternative Schreib/Sprechweise bei Anzahl)
两个人	liǎng gè rén<br /><br /><br />2 Menschen
花	huā<br /><br /><br />Blume
生	shēng<br /><br /><br />gebären / lebendig
活	huó<br /><br /><br />leben
生活	shēnghuó<br /><br /><br />leben / Leben
运	yùn<br /><br /><br />sich bewegen / das Schicksal
动	dòng<br /><br /><br />sich bewegen / die Bewegung / die Handlung
运动	yùndòng<br /><br /><br />die Bewegung / der Sport
岁	suì<br /><br /><br />das Alter / Zew. für Lebensjahre
信	xīn<br /><br /><br />die Botschaft / der Brief / glauben
息	xī<br /><br /><br />der Atem / einstellen
信息	xīnxī<br /><br /><br />die Botschaft / die Nachricht
信息学	xīnxīxué<br /><br /><br />die Informatik
外	wài<br /><br /><br />aussen / fremd
外语	wàiyǔ<br /><br /><br />Fremdsprache
外国	wàiguó<br /><br /><br />Ausland
最近很多外国人学习汉语。	zuìjìn hěnduō wàiguórén xuéxí hànyǔ<br /><br /><br />In letzter Zeit lernen sehr viele Ausländer Chinesisch.
老外	lǎowài<br /><br /><br />der Ausländer / der Fremde (respektvolle Anrede für Ausländer in China)
老师	lǎoshī<br /><br /><br />der Lehrer
师	shī<br /><br /><br />der Experte / der Lehrer
学生	xuéshēng<br /><br /><br />der Schüler
中学	zhōngxué<br /><br /><br />Mittelschule
小学	xiǎoxué<br /><br /><br />Volksschule / Grundschule
大学生	dàxuéshēng<br /><br /><br />der Student
你去哪儿？	nǐ qù nǎr<br /><br /><br />Wohin gehst du?
你去哪里？	nǐ qù nǎlǐ<br /><br /><br />Wohin gehst du?
哪里	nǎlǐ<br /><br /><br />woher / wie / wo
哪里，哪里。	nǎlǐ, nǎlǐ<br /><br /><br />Woher, woher. (Zurückweisung auf Kompliment)
里	lǐ<br /><br /><br />chinesische Meile / drinnen / innen
笑	xiào<br /><br /><br />lachen / auslachen / das Lachen
笑话	xiàohuà<br /><br /><br />der Witz
竹	zhú<br /><br /><br />der Bambus
孩	hái<br /><br /><br />das Kind
孩子	háizi<br /><br /><br />das Kind
女孩子	nǚháizi<br /><br /><br />das Mädchen
男孩子	nánháizi<br /><br /><br />der Bub
这	zhè<br /><br /><br />das / dieser / dies
这个	zhègè<br /><br /><br />das / dies
那	nà<br /><br /><br />das / jener / jenes
漂	piào<br /><br /><br />hübsch
亮	liàng<br /><br /><br />der Glanz / glänzend
漂亮	piàoliang<br /><br /><br />hübsch / schön
这儿	zhèr<br /><br /><br />hier / dieser Ort / diese Stelle
那儿	nàr<br /><br /><br />dort / jener Ort / jene Stelle
我在这儿	wǒzàizhèr<br /><br /><br />Ich bin hier.
我去那儿。	wǒqùnàr<br /><br /><br />Ich gehe dort hin.
你多大？	nǐ duō dà<br /><br /><br />Wie alt bist du?
我二十四岁。	wǒ èrshísì suì<br /><br /><br />Ich bin 24 Jahre alt.
你多高？	nǐ duō gāo<br /><br /><br />Wie gross bist du?
我一米七八。	wǒ yī mǐ qībā<br /><br /><br />Ich bin 1,78 Meter gross.
坐	zuò<br /><br /><br />sitzen
请坐。	qǐngzuò<br /><br /><br />Bitte nehmen Sie Platz.
用	yòng<br /><br /><br />gebrauchen / verwenden / brauchen<br />mit (Präp.)
不用谢	bùyòngxiè<br /><br /><br />Sie brauchen nicht zu danken.
不谢	bùxiè<br /><br /><br />Nichts zu danken.
客	kè<br /><br /><br />der Besucher / der Kunde / höflich
不客气。	bùkèqi<br /><br /><br />Bitte schön. / Gern geschehen.
起	qǐ<br /><br /><br />anfangen / aufstehen / entstehen
对不起。	duìbùqǐ<br /><br /><br />Entschuldigung.
没	méi<br /><br /><br />kein ... haben / nicht existieren / nicht geben
关	guān<br /><br /><br />zusperren / schliessen
系	xì<br /><br /><br />angehen / betreffen / binden
关系	guānxi<br /><br /><br />die Bedeutung / die Beziehung / Vitamin B
没关系。	méiguānxi<br /><br /><br />Macht nichts. / Keine Ursache.
很多	hěnduō<br /><br /><br />viele (im Satzbau)
我认识很多人。	wǒ rènshi hěnduō rén<br /><br /><br />Ich kenne viele Menschen.
你认识这个字马？	nǐ rènshi zhègè zì ma<br /><br /><br />Kennst du dieses Zeichen?
... 怎么写？	... zěnme xiě<br /><br /><br />Wie schreibt man ... ?
写	xiě<br /><br /><br />schreiben
这个字怎么写？	zhègè zì zěnme xiě<br /><br /><br />Wie schreibt man dieses Zeichen?
写汉字	xiěhànzì<br /><br /><br />Chinesische Zeichen schreiben
儿子	érzi<br /><br /><br />der Sohn
女儿	nǚér<br /><br /><br />die Tochter
几	jǐ<br /><br /><br />wie viel (kleine Mengen)<br />kleiner Tisch
费	fèi<br /><br /><br />Gebühr / Kosten / aufwenden / ausgeben
小费	xiǎofèi<br /><br /><br />das Trinkgeld
学费	xuéfèi<br /><br /><br />die Studiengebühr
不要钱。	bùyàoqián<br /><br /><br />Kostet nichts. (Umgangssprachlich)
下雨了。	xià yǔ le<br /><br /><br />Es regnet.
木	mu<br /><br /><br />Baum
目	mu<br /><br /><br />Auge
先 ... 然后 ... 最后	xiān ... ránhòu ... zuìhòu<br /><br /><br />zuerst ... dann ... zum Schluss
先	xiān<br /><br /><br />zuerst
然后	ránhòu<br /><br /><br />dann / danach
后	hòu<br /><br /><br />hinten / nach
最后	zuìhòu<br /><br /><br />zum Schluss / schliesslich / schlussendlich
看	kàn<br /><br /><br />schauen / sehen / lesen
书	shū<br /><br /><br />das Buch
看书	kànshū<br /><br /><br />ein Buch lesen
想	xiǎng<br /><br /><br />an jmd. denken / vermissen / möchten
你要在哪儿生活？	nǐ yào zài nǎr shēnghuó<br /><br /><br />Wo willst du leben?
生活	shēnghuó<br /><br /><br />das Leben / leben
生	shēng<br /><br /><br />die Geburt / gebären
活	huó<br /><br /><br />leben
你要在哪儿生活？	nǐ yào zài nǎr shēng huó<br /><br /><br />Wo willst du leben?
你想在那儿生活？	nǐ xiǎng zài nǎr shēng huó<br /><br /><br />Wo möchtest du leben?
上大学	shàng dàxué<br /><br /><br />zur Universität gehen / die Universität besuchen
南	nán<br /><br /><br />Süden
北	běi<br /><br /><br />Norden
西南	xi nán<br /><br /><br />Südwesten
瓜	guā<br /><br /><br />Melone
南瓜	nán guā<br /><br /><br />Kürbis
籽	zǐ<br /><br /><br />Kern / Samen
油	yóu<br /><br /><br />Öl / Benzin / Fett
南瓜籽油	nánguāzǐ yóu<br /><br /><br />Kürbiskernöl
黄瓜	huáng guā<br /><br /><br />Gurke
西瓜	xi guā<br /><br /><br />Wassermelone
黄油	huáng yóu<br /><br /><br />Butter
叶	yè<br /><br /><br />Blatt
茶叶	chà yè<br /><br /><br />Teeblätter
杯	bēi<br /><br /><br />Tasse / Glas
茶杯	chà bēi<br /><br /><br />Teeschale
干杯	gān bēi<br /><br /><br />Prost! (auf Ex!)
干	gān<br /><br /><br />trocken
衣服	yī fu<br /><br /><br />Gewand / Bekleidung
T恤衫	tī xù shān<br /><br /><br />T-Shirt
衫	shān<br /><br /><br />Hemd
T	tī<br /><br /><br />englischer Buchstabe 'T'
书法作品	shū fǎ zuò pǐn<br /><br /><br />Kalligrafie-Werk
作品	zuò pǐn<br /><br /><br />Werk
工作	gōng zuò<br /><br /><br />arbeiten / die Arbeit
我去中国工作。	wǒ qù zhōngguó gōngzuò<br /><br /><br />Ich fahre nach China um zu arbeiten.
这么	zhème<br /><br /><br />so ...
这么贵。	zhème guì<br /><br /><br />So teuer.
人民	rénmín<br /><br /><br />das Volk
币	bì<br /><br /><br />die Währung
人民币	rénmínbì<br /><br /><br />Volkswährung (Währung in China)
元	yuán<br /><br /><br />ZEW für Geld, Grundeinheit
角	jiǎo<br /><br /><br />ZEW für Geld, 1/10 des 元
分	fēn<br /><br /><br />ZEW für Geld, 1/100 des 元<br />ZEW für Minuten<br />der Teil<br />teilen
分手	fēnshǒu<br /><br /><br />sich trennen / sich verabschieden
块	kuài<br /><br /><br />ZEW für Geld, umgangssprachlich für 元<br />das Stück
毛	máo<br /><br /><br />ZEW für Geld, umgangssprachlich für 角 (1/10 des 元)<br />das Haar
毛衣	máoyī<br /><br /><br />der Pullover
手机号	shǒujī hào<br /><br /><br />die Sim-Karte
买一送一	mǎi yī sòng yī<br /><br /><br />eines kaufen, eines geschenkt bekommen (Aktion in chinesischen Geschäften)
送	sòng<br /><br /><br />schenken / jmd. fahren
包子	bāozi<br /><br /><br />Teigtasche
值	zhí<br /><br /><br />etw. wert sein
值钱	zhíqián<br /><br /><br />wertvoll
开	kāi<br /><br /><br />öffnen
始	shǐ<br /><br /><br />der Anfang / anfangen / beginnen
开始	kāi shǐ<br /><br /><br />mit etw. anfangen / der Beginn / die Eröffnung
课	kè<br /><br /><br />die Lektion / der Unterricht / das Fach
上课	shàng kè<br /><br /><br />den Unterricht beginnen / Unterricht haben / Unterricht geben
下课	xià kè<br /><br /><br />den Unterricht beenden
中文课	zhōng wén kè<br /><br /><br />der Chinesisch-Unterricht/-Kurs
换	huàn<br /><br /><br />wechseln / tauschen
换钱	huàn qián<br /><br /><br />Geld wechseln / der Geldumtausch
你看什么书?	nǐ kàn shénme shū<br /><br /><br />Welches Buch liest du?
小说	xiǎo shuō<br /><br /><br />der Roman / die Erzählung
很行	hěn xíng<br /><br /><br />super / toll / kompetent
上衣	shàng yī<br /><br /><br />Oberbekleidung
你在哪儿工作？	nǐ zài nǎr gōng zuò<br /><br /><br />Wo arbeitest du?
现在几点？	xiànzài jǐ diǎn<br /><br /><br />Wie spät ist es?
